,1mo,2mo,3mo,4mo,6mo,1y,2y,3y,5y,7y,10y,20y,30y,USDBRL,USDCOP,USDCLP,USDPEN,USDMXN,USDEUR,USDGBP,USDJPY,USDAUD,USDCHF
1mo,5.6739758712235915,1.7749235474006106,1.5081762274422816,1.527727929562786,1.426629028463886,1.7094061901401258,1.866629700574643,1.7593641832173894,1.450203313506052,1.0983600497361896,0.9513593440198942,0.8128406761434196,0.6499579930772577,0.07001939095871067,0.039923912430106276,0.027918003611303525,0.0349665779989114,-0.045144974472528104,0.06365303099961316,0.050164960270070405,0.09992788611754927,0.031403884170988224,0.09951404944865436
2mo,1.7749235474006106,4.5529051987767595,1.8605504587155999,1.887461773700309,1.5773700305810405,1.8201834862385244,1.9908256880733846,1.5792048929663476,1.3363914373088555,0.8103975535168091,0.7975535168195595,0.468501529051979,0.285626911314978,0.04472278611278338,0.000718916962482873,0.015174794752072474,-0.016809023864788823,0.05336940447686093,-0.0034305934389356908,0.035493135949450846,0.01841055065714566,0.005994930166721503,-0.003555618611446838
3mo,1.5081762274422816,1.8605504587155999,4.085411835870574,2.304929932452879,2.7081157374735363,3.5682024397620853,3.8785966327250896,3.5232382296602665,3.0943240245992674,2.560560540377067,2.106784958161107,1.3751184595221344,1.0541183587055185,-0.005421489781899376,-0.007519932170615932,0.13491706837662187,0.030070999033157648,0.022826555486668357,0.0020330881489082834,-0.013967802241648408,-0.00663346292301214,-0.08284006373656676,0.02392852221867509
4mo,1.527727929562786,1.887461773700309,2.304929932452879,3.794159357462108,3.331169136673711,4.968968646032882,5.484484323016453,5.229888765668597,4.806284235642054,4.338468259569182,3.6900561212487917,2.8499378297543427,2.552663238901777,-0.0875993997422878,-0.013352947822214809,0.08678211458867366,0.040381822580564976,-0.07956672694351112,0.0012194807743765522,0.003020895376022441,0.02171135180230103,-0.10168921820753517,0.07188835504175342
6mo,1.426629028463886,1.5773700305810405,2.7081157374735363,3.331169136673711,6.052411197365312,8.196047988708528,9.583345095271707,9.138367442954571,8.58823806163256,7.750646906610212,6.561514937661723,5.057257115972714,4.549658903787349,-0.05716676736050189,0.0506270161674417,0.1607490096144643,0.08377585966377199,-0.06724100675245064,0.018379778718510827,0.0024957596944876074,0.054257466048442136,-0.14629230067805146,0.0893152303788933
1y,1.7094061901401258,1.8201834862385244,3.5682024397620853,4.968968646032882,8.196047988708528,16.712289545317063,20.563484222199822,20.095231374130442,18.994414759552384,17.554672850085677,14.790240951708837,11.559149107772956,10.452666599455583,-0.10393263787938778,0.14254125874429643,0.22179528424657555,0.2652508855434751,0.060504661283926044,0.09292445105094115,0.018319168426454584,0.25963907726712987,-0.22622899513439423,0.23886616907180983
2y,1.866629700574643,1.9908256880733846,3.8785966327250896,5.484484323016453,9.583345095271707,20.563484222199822,31.444127432200833,29.912753301744132,29.030234902711964,27.130547434217156,23.428147998790198,18.901592902510338,17.24651678596632,0.04137270702806846,0.08777164117270891,0.21771842919513149,0.43081705536756093,0.15129098376150854,0.14984229755250145,0.14737518856623216,0.39163827148337343,-0.17189762639023004,0.3034776105144809
3y,1.7593641832173894,1.5792048929663476,3.5232382296602665,5.229888765668597,9.138367442954571,20.095231374130442,29.912753301744132,32.12455556675729,30.764566320529628,29.309513727862353,25.68439022750952,21.19596061430923,19.59996639446178,0.07985746103862597,0.10154432987351232,0.2326871534319729,0.46461314739240583,0.20139226637496616,0.1633839101340849,0.1742425712873228,0.41894058539124907,-0.06036795652248692,0.2966233796624645
5y,1.450203313506052,1.3363914373088555,3.0943240245992674,4.806284235642054,8.58823806163256,18.994414759552384,29.030234902711964,30.764566320529628,32.16688846321872,31.123120610276565,27.963840440904647,24.13863964781395,22.69859192794973,0.1954426261766446,0.09897423323362792,0.247562373332781,0.4519580303556127,0.16111978154654694,0.12384985715373106,0.18661813802448876,0.4028999123161109,-0.02853681620464085,0.26200554961854144
7y,1.0983600497361896,0.8103975535168091,2.560560540377067,4.338468259569182,7.750646906610212,17.554672850085677,27.130547434217156,29.309513727862353,31.123120610276565,31.546382363813578,28.679551030009723,25.616093692240472,24.461262896125305,0.2658270824831069,0.09137602741496763,0.24351533599717287,0.44099329907435947,0.1901052159381228,0.12433239488816734,0.22393090821025075,0.4061036980241168,0.04179810337943345,0.23824328183906782
10y,0.9513593440198942,0.7975535168195595,2.106784958161107,3.6900561212487917,6.561514937661723,14.790240951708837,23.428147998790198,25.68439022750952,27.963840440904647,28.679551030009723,27.203898242430363,24.947568639311758,24.149195147360285,0.3205837732900421,0.03827907533440546,0.2161389865409041,0.38806662318949653,0.17763140623195522,0.08574055236175682,0.19260653836786273,0.3512317561922722,0.06172861779707731,0.16360566698550658
