bucket,diag_Q
1mo,5.6739758712235915
2mo,4.5529051987767595
3mo,4.085411835870574
4mo,3.794159357462108
6mo,6.052411197365312
1y,16.712289545317063
2y,31.444127432200833
3y,32.12455556675729
5y,32.16688846321872
7y,31.546382363813578
10y,27.203898242430363
20y,24.81868803978894
30y,24.3381254830796
USDBRL,0.4712223981565416
USDCOP,0.6304157930954255
USDCLP,0.4747969775143176
USDPEN,0.1267820282815069
USDMXN,0.4887430566667119
USDEUR,0.20227515430784887
USDGBP,0.1947782533062815
USDJPY,0.4016553313225029
USDAUD,0.36709498685671393
USDCHF,0.27295133647247194
