,1mo,2mo,3mo,4mo,6mo,1y,2y,3y,5y,7y,10y,20y,30y,USDBRL,USDCOP,USDCLP,USDPEN,USDMXN,USDEUR,USDGBP,USDJPY,USDAUD,USDCHF
1mo,1.4352067800627186,0.7155940336225305,0.28725654116503735,0.22367614258671523,0.06810007515934796,0.3506358230939654,0.5216186404752936,0.5336219237909686,0.27183172077611095,0.1353902654214152,-0.036740770323439254,-0.27440652312608405,-0.5828289273290784,0.12562726856827106,0.3392294110765551,-0.060095521588356175,0.10710347743170631,0.14345151227623174,0.06355965162164579,0.009480035730998532,0.11068184502310408,-0.06907690099766721,0.12140905188625543
2mo,0.7155940336225305,2.1201695423724938,0.7524087894471383,0.2749326034764577,0.5144123151952883,0.8303207477915071,1.1131113402822828,1.1734039477457472,0.5158787919720013,0.23485984254160275,0.0006434876255522193,-0.6751085082520072,-0.9096857855135485,0.021422523405198846,0.16751739969400353,0.32538114332629814,0.11344611515685496,-0.029098081191961236,0.15706215792704714,0.07704909356269041,0.25755131012979554,0.11702398534181738,0.07507750204039072
3mo,0.28725654116503735,0.7524087894471383,2.4111806382581324,0.7991039377356294,2.3338224959776843,2.50848673699808,3.5782706739848043,3.5371316516085822,3.6654033251967997,3.1019776310845963,2.371748875128503,1.6827620412855826,1.3029264078634981,-0.08365037967180557,-0.303930018915383,0.4350216783631999,-0.0330584022630037,-0.12635742360891594,0.18522221532916244,0.21824332813842512,0.2150643807268427,0.2041705696142418,-0.04229178689132336
4mo,0.22367614258671523,0.2749326034764577,0.7991039377356294,1.1179906637166033,0.9635857450710531,1.2958679547983123,1.4651771368525177,1.450078830927633,1.5907532339919814,1.2479770249938469,0.908250764498405,0.6304108221391234,0.6221352737364014,-0.26789165957895994,-0.08980692475667802,0.12465396001504106,-0.19826699536352252,-0.2454336172868057,-0.008721400046951301,0.028161504664022792,-0.055255426611063994,0.02311213730048499,-0.08661715566181918
6mo,0.06810007515934796,0.5144123151952883,2.3338224959776843,0.9635857450710531,3.8530039071607387,4.020147679401665,5.672629542207029,5.603523432445028,5.711123721035856,4.9258685108949205,3.812752174858446,2.9655383749554685,2.4443084818111824,0.12537732705619176,-0.22509799716092577,0.5109686966263601,0.08387221483887695,0.0584615230030316,0.2081549093785841,0.24329095105516652,0.15278324849372232,0.1779709193756407,-0.14833332244974354
1y,0.3506358230939654,0.8303207477915071,2.50848673699808,1.2958679547983123,4.020147679401665,9.521300580617813,13.180847608434417,13.109374509019249,12.048578122196709,10.58549582180855,8.549896534357382,6.836346291620781,5.714525890817347,0.0400130754103199,-0.15352503685159258,0.1762483227754405,0.1550824362766104,0.4225901797825724,0.524314484936352,0.3814583572757828,0.4250268008577561,0.04593341045167613,0.22953341207668032
2y,0.5216186404752936,1.1131113402822828,3.5782706739848043,1.4651771368525177,5.672629542207029,13.180847608434417,23.575157198315175,22.321996491006573,21.374197163242144,19.678458236180504,16.700193267105718,14.289666911782332,12.017395062175016,0.8237389495866283,-0.6045309311974035,0.2733976061917299,0.7614900554802846,1.2116791508679976,0.8616878709435207,0.6303005434395454,0.7913961800649056,-0.013887327813111638,0.5327349045850162
3y,0.5336219237909686,1.1734039477457472,3.5371316516085822,1.450078830927633,5.603523432445028,13.109374509019249,22.321996491006573,23.256327577721155,22.047672192871183,20.645031847028754,17.51410568269024,14.66110313027201,12.519986529618077,0.6994622665366643,-0.5507842843266819,0.3490420026970042,0.6957814190112871,0.9179562152461368,0.8786451014927621,0.6331688403189821,0.8386800401142286,0.3078368952330487,0.44343124512783977
5y,0.27183172077611095,0.5158787919720013,3.6654033251967997,1.5907532339919814,5.711123721035856,12.048578122196709,21.374197163242144,22.047672192871183,22.115493781971736,20.978806710670195,18.03392048663127,15.753547985464227,13.931889121044817,0.6964964130932293,-0.7020327991912549,0.17870570296418592,0.4791802601012822,0.8449814705019116,0.6789502762836419,0.5223745853112878,0.6305449329987594,0.1732331577573878,0.27205054587357475
7y,0.1353902654214152,0.23485984254160275,3.1019776310845963,1.2479770249938469,4.9258685108949205,10.58549582180855,19.678458236180504,20.645031847028754,20.978806710670195,20.62597382313047,17.932341451383436,15.915839495562622,14.519912690412514,0.7671576271619689,-0.7259499330569577,0.09590620024675563,0.3758179954703763,0.856557517744712,0.5057476352689433,0.3835471172156317,0.5347939071322712,0.09271081369420787,0.20309150607127238
10y,-0.036740770323439254,0.0006434876255522193,2.371748875128503,0.908250764498405,3.812752174858446,8.549896534357382,16.700193267105718,17.51410568269024,18.03392048663127,17.932341451383436,16.262453926643257,14.961846837305046,14.034064312592145,0.6612854898599951,-0.6109390052597389,-0.18435586240229918,0.28964251208602887,0.7666542981779007,0.36522033881999644,0.26101922563673446,0.4842197968698482,-0.04350290236719496,0.1702111846313311
20y,-0.27440652312608405,-0.6751085082520072,1.6827620412855826,0.6304108221391234,2.9655383749554685,6.836346291620781,14.289666911782332,14.66110313027201,15.753547985464227,15.915839495562622,14.961846837305046,15.326419274141488,14.82219427419345,0.6192936709854145,-0.7350545234787147,-0.6799796521490561,0.11706533756758178,0.7172281205448873,0.15979474336952726,0.13250106420427016,0.2790575583791283,-0.2602432655870088,0.10233137746640776
30y,-0.5828289273290784,-0.9096857855135485,1.3029264078634981,0.6221352737364014,2.4443084818111824,5.714525890817347,12.017395062175016,12.519986529618077,13.931889121044817,14.519912690412514,14.034064312592145,14.82219427419345,15.393629855202944,0.33246526030362594,-0.9618564496060372,-0.8406366089054164,-0.3247291055139252,0.42797529685458996,-0.06577634325998477,-0.045837399322622055,0.15792951899617025,-0.3988738464151928,-0.007768758224745584
USDBRL,0.12562726856827106,0.021422523405198846,-0.08365037967180557,-0.26789165957895994,0.12537732705619176,0.0400130754103199,0.8237389495866283,0.6994622665366643,0.6964964130932293,0.7671576271619689,0.6612854898599951,0.6192936709854145,0.33246526030362594,0.6252875836707931,0.25951056779578807,-0.046495162706820505,0.3162644690680736,0.3693517504156726,0.06311001223576077,0.06672436576556966,0.056344683718505095,0.04706995351544099,0.10147350188824755
USDCOP,0.3392294110765551,0.16751739969400353,-0.303930018915383,-0.08980692475667802,-0.22509799716092577,-0.15352503685159258,-0.6045309311974035,-0.5507842843266819,-0.7020327991912549,-0.7259499330569577,-0.6109390052597389,-0.7350545234787147,-0.9618564496060372,0.25951056779578807,1.4182183857399295,-0.2431474654955165,0.29826000728929014,0.2288717955750507,-0.04322981059232639,-0.06086166310508181,0.016428694245862036,-0.14550487113980043,-0.020420605200957846
USDCLP,-0.060095521588356175,0.32538114332629814,0.4350216783631999,0.12465396001504106,0.5109686966263601,0.1762483227754405,0.2733976061917299,0.3490420026970042,0.17870570296418592,0.09590620024675563,-0.18435586240229918,-0.6799796521490561,-0.8406366089054164,-0.046495162706820505,-0.2431474654955165,1.2165105632212458,0.21972831367759224,-0.08250225527041642,0.2679801514414965,0.20514906343153225,0.1587690695215412,0.4680994546904297,0.17922987951199026
USDPEN,0.10710347743170631,0.11344611515685496,-0.0330584022630037,-0.19826699536352252,0.08387221483887695,0.1550824362766104,0.7614900554802846,0.6957814190112871,0.4791802601012822,0.3758179954703763,0.28964251208602887,0.11706533756758178,-0.3247291055139252,0.3162644690680736,0.29826000728929014,0.21972831367759224,0.42178124563602715,0.27424346756123724,0.15622838642984851,0.11589857940588988,0.10574103040173406,0.1430227324846621,0.12220869439046265
USDMXN,0.14345151227623174,-0.029098081191961236,-0.12635742360891594,-0.2454336172868057,0.0584615230030316,0.4225901797825724,1.2116791508679976,0.9179562152461368,0.8449814705019116,0.856557517744712,0.7666542981779007,0.7172281205448873,0.42797529685458996,0.3693517504156726,0.2288717955750507,-0.08250225527041642,0.27424346756123724,0.4784201791195912,0.040823638257059106,0.008515950890992665,0.022256619804466103,-0.13108551344078137,0.08603415805202057
USDEUR,0.06355965162164579,0.15706215792704714,0.18522221532916244,-0.008721400046951301,0.2081549093785841,0.524314484936352,0.8616878709435207,0.8786451014927621,0.6789502762836419,0.5057476352689433,0.36522033881999644,0.15979474336952726,-0.06577634325998477,0.06311001223576077,-0.04322981059232639,0.2679801514414965,0.15622838642984851,0.040823638257059106,0.21055751214548651,0.17020973520601645,0.1740640955037879,0.22015451560675553,0.17518596426442387
USDGBP,0.009480035730998532,0.07704909356269041,0.21824332813842512,0.028161504664022792,0.24329095105516652,0.3814583572757828,0.6303005434395454,0.6331688403189821,0.5223745853112878,0.3835471172156317,0.26101922563673446,0.13250106420427016,-0.045837399322622055,0.06672436576556966,-0.06086166310508181,0.20514906343153225,0.11589857940588988,0.008515950890992665,0.17020973520601645,0.1957519158627046,0.1282639049379399,0.24689862403524865,0.12690611271846386
USDJPY,0.11068184502310408,0.25755131012979554,0.2150643807268427,-0.055255426611063994,0.15278324849372232,0.4250268008577561,0.7913961800649056,0.8386800401142286,0.6305449329987594,0.5347939071322712,0.4842197968698482,0.2790575583791283,0.15792951899617025,0.056344683718505095,0.016428694245862036,0.1587690695215412,0.10574103040173406,0.022256619804466103,0.1740640955037879,0.1282639049379399,0.2935044308518067,0.15813973682315685,0.1486464816110313
USDAUD,-0.06907690099766721,0.11702398534181738,0.2041705696142418,0.02311213730048499,0.1779709193756407,0.04593341045167613,-0.013887327813111638,0.3078368952330487,0.1732331577573878,0.09271081369420787,-0.04350290236719496,-0.2602432655870088,-0.3988738464151928,0.04706995351544099,-0.14550487113980043,0.4680994546904297,0.1430227324846621,-0.13108551344078137,0.22015451560675553,0.24689862403524865,0.15813973682315685,0.5199050208042453,0.12617070121423302
