,1mo,2mo,3mo,4mo,6mo,1y,2y,3y,5y,7y,10y,20y,30y,USDBRL,USDCOP,USDCLP,USDPEN,USDMXN,USDEUR,USDGBP,USDJPY,USDAUD,USDCHF
1mo,5.673975871223569,2.629501173955465,2.527254795649296,2.45714229725185,2.7384370411615984,4.024196154713089,5.064854670578567,4.945479037568661,4.676536824012788,4.358569078611746,3.9197151157555035,3.504262789727721,3.3122369282695705,0.08320022589513694,0.07292899374133971,0.1978470676329884,0.14322457628648128,-0.0018534199147444395,0.1330966953140428,0.1253055808405947,0.2370645439157139,0.05362144707510462,0.20787016688858745
2mo,2.629501173955465,4.552905198776763,2.6771205134977847,2.567092712181522,2.7018234428365706,3.8625479203421342,4.803631879096093,4.548035444046972,4.30176805235361,3.9116412639126863,3.5476923706949983,3.062296000612779,2.8591755459323944,0.03832207366407613,0.03485272856847896,0.12540990125644966,0.08879259634347922,0.05538194994884379,0.03270666262143037,0.055450677177811734,0.10896134602149857,-0.036965092810717505,0.07840386975775251
3mo,2.527254795649296,2.6771205134977847,4.085411835870554,3.125628395702606,3.7941783957242663,5.751074103404169,7.305150250854611,7.13748092793879,6.873846545020733,6.509616359275449,5.868140387255996,5.187357968395598,4.924358385417901,0.028989157120345832,0.03977226798234946,0.22175267052199155,0.174605762670232,0.05219938652792855,0.03869688954513477,0.03923676490208731,0.13085509112016477,-0.10288962534440076,0.10945890085503758
4mo,2.45714229725185,2.567092712181522,3.1256283957026065,3.794159357462115,4.238248159796094,6.751903860158247,8.699369069252457,8.6187688222739,8.407438373650598,8.10125909056947,7.35557807562879,6.657307064530229,6.420777729342864,0.0007963091204704177,0.032289986805265555,0.21145426568129946,0.21035879789323114,0.0009275628000132485,0.05335922234640515,0.06741187884195653,0.1834956325604242,-0.09659707864943937,0.15301860914411483
6mo,2.7384370411615984,2.7018234428365706,3.794178395724267,4.238248159796094,6.052411197365289,9.468207475897708,12.431160441605229,12.358153525570293,12.149424833185233,11.749146780935412,10.686353422794209,9.717420192071838,9.399405076139693,0.07602948116323426,0.099099792053443,0.30810880962792475,0.3185000831145841,0.05683299312845441,0.08784289929147072,0.10420505239708447,0.2743259371894444,-0.10876870535264715,0.2066441705394275
1y,4.0241961547130884,3.862547920342134,5.751074103404169,6.751903860158247,9.468207475897705,16.71228954531703,22.32026894381754,22.355817180985774,22.056530840784447,21.474386629803295,19.535439004446427,17.848335094437243,17.299107100695323,0.19388504808411894,0.22271137032506858,0.528202436503282,0.6265144204187828,0.22446685361012395,0.20553683601278555,0.22360636142849463,0.5769336040302037,-0.11161595255604148,0.41219963868363313
2y,5.064854670578567,4.803631879096093,7.305150250854612,8.699369069252457,12.431160441605229,22.320268943817542,31.444127432200823,31.35393786045365,31.144933094662747,30.430203893463595,27.818299009153353,25.574821732760423,24.83309393171486,0.3925516105825484,0.2839323102698543,0.7127824550848528,0.9101931342222923,0.37044235841196704,0.3175304153800059,0.37966462207150925,0.840719916202118,-0.055918228115063834,0.5826633395941138
3y,4.945479037568661,4.548035444046971,7.137480927938792,8.618768822273898,12.358153525570293,22.355817180985774,31.353937860453648,32.12455556675735,31.838433157145783,31.247131788723888,28.650183528277637,26.455419403325216,25.75104677480018,0.43343874235769136,0.30484748983571963,0.7358116806879803,0.9411420231209933,0.41038612328014046,0.33821180128875344,0.4063281638541237,0.874166954770226,0.005449441895549207,0.5977202145267165
5y,4.676536824012788,4.3017680523536095,6.873846545020735,8.407438373650598,12.14942483318523,22.056530840784447,31.144933094662747,31.838433157145783,32.16688846321868,31.68973587981864,29.209296781950318,27.21998422188805,26.5839106457125,0.4942430968378945,0.3119310595680154,0.7352849566462234,0.9423921432023246,0.4050010492708909,0.3238872763448793,0.4097107704658194,0.8664627499038873,0.01831004701266759,0.5822852544950341
7y,4.358569078611746,3.9116412639126854,6.509616359275451,8.10125909056947,11.749146780935412,21.474386629803295,30.430203893463588,31.247131788723888,31.689735879818638,31.54638236381361,29.158455726377586,27.387547248930478,26.843430351530916,0.5344320396082138,0.31499761638114065,0.7317581838449192,0.9368997199455146,0.4258061389195888,0.3307066558413093,0.42831708443235683,0.8709573518192473,0.05933445425144642,0.577235068750938
10y,3.9197151157555035,3.5476923706949983,5.868140387255997,7.35557807562879,10.68635342279421,19.53543900444643,27.818299009153353,28.65018352827764,29.209296781950318,29.15845572637759,27.20389824243049,25.715761492182946,25.290081798151462,0.5326186244474328,0.2773815624855792,0.6657373488077083,0.8630976853378601,0.40206157393467257,0.29166723624818824,0.3874778109132115,0.7915849314587464,0.059032131661388605,0.5086979135461643
20y,3.5042627897277203,3.062296000612778,5.187357968395598,6.657307064530229,9.717420192071838,17.848335094437243,25.574821732760423,26.455419403325216,27.219984221888048,27.387547248930478,25.715761492182946,24.818688039789006,24.460644985420466,0.5618696419195554,0.2419688335132001,0.6138626464223601,0.798234084121356,0.3742529655389168,0.26571912883375054,0.3699663608417308,0.7464670745841865,0.0734357855079183,0.4509932875252478
30y,3.312236928269569,2.8591755459323935,4.924358385417901,6.420777729342863,9.399405076139693,17.299107100695323,24.833093931714853,25.75104677480018,26.5839106457125,26.84343035153092,25.290081798151455,24.460644985420462,24.338125483079583,0.5322108419095716,0.21268358526748943,0.6018845792035562,0.7838339374376746,0.3454945025603276,0.2664974294844386,0.379252345830682,0.7504100930877063,0.0839989813833832,0.44969351647581796
USDBRL,0.08320022589513697,0.03832207366407616,0.02898915712034585,0.0007963091204704247,0.07602948116323427,0.193885048084119,0.3925516105825484,0.4334387423576915,0.4942430968378945,0.5344320396082138,0.5326186244474327,0.5618696419195554,0.5322108419095714,0.47122239815654215,0.21594426040800083,0.06958469296888355,0.09317973973566337,0.20429366480127906,0.04564949017433964,0.04870351761070399,0.007561137739017551,0.09933836197344684,0.021556358762683383
USDCOP,0.07292899374133971,0.034852728568478944,0.039772267982349445,0.03228998680526554,0.09909979205344299,0.22271137032506858,0.28393231026985416,0.3048474898357196,0.31193105956801537,0.31499761638114065,0.27738156248557916,0.24196883351320012,0.21268358526748937,0.21594426040800077,0.6304157930954251,0.038294605040508946,0.12120919307121367,0.26633518968749653,0.012413802818323572,0.009792039999528622,-0.015341354001801722,0.027844336673365663,-0.008062367695234149
USDCLP,0.19784706763298843,0.12540990125644963,0.2217526705219916,0.2114542656812995,0.30810880962792475,0.528202436503282,0.7127824550848528,0.7358116806879804,0.7352849566462234,0.7317581838449193,0.6657373488077083,0.6138626464223602,0.6018845792035564,0.06958469296888355,0.03829460504050895,0.474796977514317,0.05567837199794784,0.028647846159929886,0.16473336425727841,0.1635914672722924,0.20090928471222552,0.23622795164085453,0.17162053888161163
USDPEN,0.14322457628648128,0.08879259634347919,0.174605762670232,0.21035879789323114,0.31850008311458405,0.6265144204187828,0.9101931342222923,0.9411420231209934,0.9423921432023245,0.9368997199455146,0.86309768533786,0.798234084121356,0.7838339374376746,0.09317973973566335,0.12120919307121367,0.05567837199794784,0.12678202828150692,0.10827524413186711,0.03464915148200476,0.035094224182455766,0.04749637885642516,0.03360114312228492,0.04025295763636615
USDMXN,-0.0018534199147444707,0.0553819499488438,0.05219938652792851,0.0009275628000132339,0.05683299312845439,0.22446685361012395,0.3704423584119669,0.41038612328014046,0.4050010492708909,0.4258061389195888,0.4020615739346727,0.37425296553891685,0.3454945025603276,0.204293664801279,0.26633518968749653,0.028647846159929876,0.10827524413186711,0.4887430566667115,0.0185586922480279,0.018875182558546807,-0.02359247067667083,0.022487465766911647,0.0038677116151510428
USDEUR,0.1330966953140428,0.032706662621430356,0.03869688954513477,0.053359222346405145,0.0878428992914707,0.20553683601278563,0.31753041538000587,0.3382118012887535,0.3238872763448793,0.3307066558413093,0.29166723624818824,0.26571912883375054,0.26649742948443866,0.04564949017433964,0.012413802818323574,0.16473336425727844,0.034649151482004766,0.01855869224802789,0.20227515430784854,0.17877353701036147,0.21777697801527626,0.21609982620863535,0.20857426350931677
USDGBP,0.1253055808405947,0.05545067717781172,0.039236764902087315,0.06741187884195653,0.10420505239708447,0.2236063614284947,0.37966462207150925,0.4063281638541238,0.4097107704658194,0.42831708443235683,0.3874778109132115,0.3699663608417308,0.3792523458306821,0.04870351761070399,0.009792039999528627,0.16359146727229243,0.035094224182455766,0.018875182558546807,0.17877353701036147,0.19477825330628143,0.20185271017770526,0.21640756483149798,0.18284262058535922
USDJPY,0.2370645439157139,0.10896134602149857,0.13085509112016477,0.18349563256042423,0.2743259371894444,0.5769336040302037,0.8407199162021178,0.8741669547702261,0.8664627499038873,0.8709573518192473,0.7915849314587464,0.7464670745841865,0.7504100930877066,0.007561137739017541,-0.015341354001801715,0.20090928471222552,0.04749637885642516,-0.02359247067667084,0.21777697801527626,0.20185271017770526,0.40165533132250275,0.22580802939123024,0.27038426140720484
USDAUD,0.0536214470751046,-0.03696509281071749,-0.10288962534440078,-0.09659707864943942,-0.10876870535264715,-0.11161595255604148,-0.055918228115063834,0.005449441895549228,0.018310047012667616,0.05933445425144642,0.059032131661388605,0.07343578550791834,0.08399898138338319,0.0993383619734468,0.027844336673365666,0.23622795164085458,0.03360114312228492,0.022487465766911647,0.21609982620863535,0.21640756483149798,0.22580802939123024,0.367094986856714,0.20563135381274047
USDCHF,0.20787016688858748,0.07840386975775254,0.10945890085503758,0.15301860914411478,0.2066441705394275,0.41219963868363313,0.5826633395941138,0.5977202145267165,0.5822852544950341,0.577235068750938,0.5086979135461642,0.4509932875252478,0.44969351647581796,0.021556358762683366,-0.008062367695234149,0.17162053888161163,0.04025295763636616,0.0038677116151510428,0.20857426350931677,0.18284262058535922,0.27038426140720473,0.20563135381274047,0.27295133647247183
